entry_time,exit_time,entry_price,exit_price,pnl,type,exit_reason,duration_minutes,duration_bars
2024-12-19 13:47:00-05:00,2024-12-19 13:58:00-05:00,590.12,590.93,80.99999999999454,LONG,TP,11.0,11
2024-12-20 11:02:00-05:00,2024-12-20 11:04:00-05:00,588.94,590.32,137.99999999999955,LONG,TP,2.0,2
2024-12-20 12:24:00-05:00,2024-12-20 12:28:00-05:00,594.95,595.63,67.999999999995,LONG,TP,4.0,4
2024-12-20 13:38:00-05:00,2024-12-20 13:49:00-05:00,592.61,592.11,50.0,SHORT,TP,11.0,11
2024-12-23 12:09:00-05:00,2024-12-23 12:12:00-05:00,592.27,592.5,23.00000000000182,LONG,TP,3.0,3
2024-12-27 10:25:00-05:00,2024-12-27 10:32:00-05:00,593.74,592.39,135.00000000000227,SHORT,TP,7.0,7
2024-12-27 14:18:00-05:00,2024-12-27 14:23:00-05:00,594.38,593.89,-49.00000000000091,LONG,SL,5.0,5
2024-12-30 09:53:00-05:00,2024-12-30 09:59:00-05:00,586.04,585.22,81.99999999999363,SHORT,TP,6.0,6
2024-12-30 11:27:00-05:00,2024-12-30 11:30:00-05:00,587.74,588.2,46.00000000000364,LONG,TP,3.0,3
2024-12-31 11:20:00-05:00,2024-12-31 11:35:00-05:00,587.17,586.87,29.999999999995453,SHORT,MAX_HOLD_BARS,15.0,15
2024-12-31 11:38:00-05:00,2024-12-31 11:42:00-05:00,586.84,587.29,-44.99999999999318,SHORT,SL,4.0,4
2024-12-31 12:46:00-05:00,2024-12-31 12:54:00-05:00,585.2,586.12,-91.99999999999591,SHORT,SL,8.0,8
2025-01-02 11:48:00-05:00,2025-01-02 11:49:00-05:00,588.09,588.59,50.0,LONG,TP,1.0,1
2025-01-06 12:56:00-05:00,2025-01-06 13:11:00-05:00,597.55,597.14,40.99999999999682,SHORT,MAX_HOLD_BARS,15.0,15
2025-01-06 13:16:00-05:00,2025-01-06 13:31:00-05:00,597.07,597.28,-20.99999999999227,SHORT,MAX_HOLD_BARS,15.0,15
2025-01-07 09:52:00-05:00,2025-01-07 09:59:00-05:00,596.96,596.34,-62.000000000000455,LONG,SL,7.0,7
2025-01-08 13:24:00-05:00,2025-01-08 13:25:00-05:00,588.45,589.02,56.99999999999363,LONG,TP,1.0,1
2025-01-10 13:03:00-05:00,2025-01-10 13:10:00-05:00,581.51,582.26,75.0,LONG,TP,7.0,7
2025-01-10 13:33:00-05:00,2025-01-10 13:48:00-05:00,583.17,583.15,-1.999999999998181,LONG,MAX_HOLD_BARS,15.0,15
