params,total_trades,win_rate,total_pnl,avg_pnl,profit_factor,gross_profit,gross_loss,avg_win,avg_loss,avg_rr_ratio,winning_trades,losing_trades,composite_score
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",607,49.75288303130148,3104.9999999998645,5.1153212520590845,1.1686217008797573,21518.999999999935,18414.000000000073,71.254966887417,-61.5852842809367,1.1570128760365808,302,305,0.29851729818780887
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",704,49.14772727272727,5525.999999999885,7.849431818181656,1.2752266161968264,25603.999999999916,20078.00000000003,73.99999999999976,-56.55774647887332,1.3083972507221773,346,358,0.2948863636363636
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",605,48.925619834710744,2767.999999999887,4.575206611570062,1.1515632699994458,21030.99999999995,18263.000000000062,71.0506756756755,-60.27392739273948,1.1787961851683515,296,309,0.29355371900826444
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",700,48.57142857142857,4694.999999999885,6.707142857142694,1.2321728810206645,24916.999999999924,20222.000000000036,73.28529411764683,-56.64425770308134,1.2937815250716975,340,360,0.2914285714285714
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",602,48.50498338870432,2549.999999999858,4.235880398670861,1.1397030625102638,20802.999999999927,18253.000000000073,71.24315068493125,-60.24092409240948,1.18263708198839,292,310,0.2910299003322259
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",1408,48.4375,7181.999999999766,5.100852272727106,1.1766528925619775,47837.99999999981,40656.000000000044,70.14369501466248,-56.782122905028,1.235313007440434,682,726,0.29062499999999997
"{'ema_length': 20, 'ema_backcandles': 7, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",603,48.424543946932005,2817.9999999998754,4.673300165837273,1.1535611138357507,21168.999999999945,18351.000000000073,72.49657534246556,-60.365131578947604,1.2009677349522885,292,311,0.290547263681592
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",698,48.28080229226361,4664.999999999861,6.683381088825016,1.2314102882087332,24823.999999999898,20159.000000000036,73.66172106824895,-56.46778711484604,1.3044910174792812,337,361,0.2896848137535816
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",696,48.275862068965516,4488.999999999856,6.449712643677954,1.223288897731787,24592.99999999989,20104.000000000036,73.19345238095205,-56.47191011235965,1.2961037130729647,336,360,0.28965517241379307
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",1399,47.89135096497498,7168.999999999824,5.124374553252197,1.1773758566939607,47585.999999999876,40417.00000000006,71.02388059701474,-56.21279554937421,1.2634824491984442,670,729,0.2873481057898499
