date,open,high,low,close,volume,average,barCount
2025-10-03 13:45:00-04:00,603.45,603.59,602.72,602.97,740180.0,603.078,5050
2025-10-03 13:50:00-04:00,602.95,603.0,601.39,601.45,877873.0,602.036,5621
2025-10-03 13:55:00-04:00,601.45,602.86,601.38,602.62,735264.0,602.397,5112
2025-10-03 14:00:00-04:00,602.61,602.74,601.76,601.79,789440.0,602.316,4814
2025-10-03 14:05:00-04:00,601.78,602.19,601.45,601.91,736862.0,601.766,4541
2025-10-03 14:10:00-04:00,601.9,602.91,601.85,602.61,478979.0,602.508,3362
2025-10-03 14:15:00-04:00,602.59,603.48,602.53,603.4,515768.0,602.982,3478
2025-10-03 14:20:00-04:00,603.4,603.8,603.06,603.73,392362.0,603.447,2619
2025-10-03 14:25:00-04:00,603.73,604.3,603.67,604.14,478554.0,604.007,2662
2025-10-03 14:30:00-04:00,604.14,604.23,603.09,603.53,502972.0,603.652,3050
2025-10-03 14:35:00-04:00,603.52,603.69,603.26,603.48,246821.0,603.493,1702
2025-10-03 14:40:00-04:00,603.49,603.75,603.27,603.55,257150.0,603.536,1770
2025-10-03 14:45:00-04:00,603.54,603.55,602.89,602.94,375864.0,603.259,2485
2025-10-03 14:50:00-04:00,602.92,603.18,602.74,603.14,265108.0,602.977,1957
2025-10-03 14:55:00-04:00,603.13,603.56,603.11,603.46,374942.0,603.376,2259
2025-10-03 15:00:00-04:00,603.44,603.67,603.16,603.32,366325.0,603.403,2588
2025-10-03 15:05:00-04:00,603.3,603.59,603.18,603.48,272365.0,603.433,1895
2025-10-03 15:10:00-04:00,603.47,603.96,603.42,603.51,327395.0,603.666,2053
2025-10-03 15:15:00-04:00,603.52,603.65,603.26,603.44,254730.0,603.433,1770
2025-10-03 15:20:00-04:00,603.44,603.5,603.12,603.27,256983.0,603.329,1664
2025-10-03 15:25:00-04:00,603.27,603.52,603.24,603.34,190585.0,603.395,1383
2025-10-03 15:30:00-04:00,603.34,603.64,603.19,603.52,253392.0,603.412,1793
2025-10-03 15:35:00-04:00,603.52,603.77,603.46,603.53,259301.0,603.628,1709
2025-10-03 15:40:00-04:00,603.52,603.86,603.48,603.53,335847.0,603.661,2099
2025-10-03 15:45:00-04:00,603.53,603.75,603.49,603.7,410728.0,603.654,2654
2025-10-03 15:50:00-04:00,603.68,603.68,603.13,603.41,913538.0,603.349,6773
2025-10-03 15:55:00-04:00,603.4,603.55,602.77,603.15,1652336.0,603.045,11405
2025-10-06 09:30:00-04:00,608.43,608.62,607.04,607.19,1489064.0,607.838,10238
2025-10-06 09:35:00-04:00,607.18,607.94,606.87,607.19,903990.0,607.415,6530
2025-10-06 09:40:00-04:00,607.23,607.69,606.09,606.66,764383.0,606.811,5780
2025-10-06 09:45:00-04:00,606.66,607.46,606.54,607.24,785418.0,607.068,5957
2025-10-06 09:50:00-04:00,607.27,607.28,606.42,606.88,495625.0,606.852,3624
2025-10-06 09:55:00-04:00,606.87,607.12,606.55,607.03,536290.0,606.825,3851
2025-10-06 10:00:00-04:00,607.03,607.56,606.69,607.44,632034.0,607.162,4671
2025-10-06 10:05:00-04:00,607.46,607.6,606.84,606.86,413326.0,607.304,2864
2025-10-06 10:10:00-04:00,606.88,607.26,606.55,607.12,431465.0,606.899,3030
2025-10-06 10:15:00-04:00,607.12,607.42,607.03,607.2,316466.0,607.245,2293
2025-10-06 10:20:00-04:00,607.21,607.73,607.03,607.08,357822.0,607.374,2428
2025-10-06 10:25:00-04:00,607.1,607.13,606.66,606.75,262848.0,606.915,1767
2025-10-06 10:30:00-04:00,606.74,606.95,606.39,606.49,373241.0,606.607,2473
2025-10-06 10:35:00-04:00,606.5,606.77,606.25,606.75,355280.0,606.47,2160
